origin_country,destination_country,total_migrants
Bangladesh,Poland,1051.0
Bangladesh,Portugal,8554.0
Bangladesh,Slovakia,22.0
Bangladesh,Slovenia,41.0
Bangladesh,Spain,17311.0
Bangladesh,Sweden,11320.0
Bangladesh,Switzerland,2180.7970104146725
Bangladesh,Turkey,1473.0
Bangladesh,United States,252668.0
Belarus,Australia,1999.0
Belarus,Bulgaria,842.0
Belarus,Canada,12180.0
Belarus,Colombia,18.0
Belarus,Czech Republic,6750.0
Belarus,Denmark,781.0
Belarus,Estonia,10141.0
Belarus,France,5069.750941991806
Belarus,Greece,1648.0
Belarus,Hungary,736.0
Belarus,Italy,12915.0
Belarus,LUX,369.0
Belarus,Latvia,39648.0
Belarus,Lithuania,35789.0
Belarus,New Zealand,222.0
Belarus,Norway,1228.0
Belarus,Poland,71928.0
Belarus,Portugal,843.0
Belarus,Slovakia,307.0
Belarus,Slovenia,216.0
Belarus,Spain,5648.0
Belarus,Sweden,3480.0
Belarus,Switzerland,1767.6119928359985
Belarus,Turkey,4793.0
Belarus,United States,69063.0
Belgium,Australia,6826.0
Belgium,Bulgaria,503.0
Belgium,Canada,20825.0
Belgium,Colombia,437.0
Belgium,Czech Republic,877.0
Belgium,Denmark,2117.0
Belgium,Estonia,234.0
Belgium,France,146905.7825157833
Belgium,Greece,4905.0
Belgium,Hungary,2314.0
Belgium,Italy,42141.0
Belgium,LUX,19913.0
Belgium,Latvia,44.0
Belgium,Lithuania,58.0
Belgium,New Zealand,1065.0
Belgium,Norway,1694.0
Belgium,Poland,3308.0
Belgium,Portugal,5282.0
Belgium,Slovakia,687.0
Belgium,Slovenia,250.0
Belgium,Spain,45416.0
Belgium,Sweden,2755.0
Belgium,Switzerland,15347.63403892517
Belgium,Turkey,29068.0
Belgium,United States,42149.0
Bolivia,Australia,971.0
Bolivia,Bulgaria,6.0
Bolivia,Canada,5000.0
Bolivia,Colombia,823.0
Bolivia,Czech Republic,130.0
Bolivia,Denmark,368.0
Bolivia,Estonia,7.0
Bolivia,France,4240.131130218506
Bolivia,Greece,22.0
Bolivia,Hungary,55.0
Bolivia,Italy,14374.0
Bolivia,LUX,100.0
Bolivia,Latvia,2.0
Bolivia,New Zealand,96.0
Bolivia,Norway,568.0
Bolivia,Poland,68.0
Bolivia,Portugal,199.0
Bolivia,Slovakia,11.0
Bolivia,Slovenia,16.0
Bolivia,Spain,173274.0
Bolivia,Sweden,4490.0
Bolivia,Switzerland,4913.406000137329
Bolivia,United States,78362.0
Bosnia and Herzegovina,Australia,26016.0
Bosnia and Herzegovina,Bulgaria,107.0
Bosnia and Herzegovina,Canada,36180.0
Bosnia and Herzegovina,Colombia,13.0
Bosnia and Herzegovina,Czech Republic,2778.0
Bosnia and Herzegovina,Denmark,16683.0
Bosnia and Herzegovina,Estonia,19.0
Bosnia and Herzegovina,France,15008.744290590286
Bosnia and Herzegovina,Greece,472.0
Bosnia and Herzegovina,Hungary,813.0
Bosnia and Herzegovina,Italy,29335.0
Bosnia and Herzegovina,LUX,2985.0
Bosnia and Herzegovina,Latvia,11.0
Bosnia and Herzegovina,New Zealand,342.0
Bosnia and Herzegovina,Norway,13696.0
Bosnia and Herzegovina,Poland,1669.0
Bosnia and Herzegovina,Portugal,125.0
Bosnia and Herzegovina,Slovakia,551.0
Bosnia and Herzegovina,Slovenia,126037.0
Bosnia and Herzegovina,Spain,1831.0
Bosnia and Herzegovina,Sweden,59185.0
Bosnia and Herzegovina,Switzerland,57346.29967689514
Bosnia and Herzegovina,Turkey,2057.0
Bosnia and Herzegovina,United States,112920.0
Brazil,Australia,45003.0
Brazil,Bulgaria,133.0
Brazil,Canada,69950.0
Brazil,Colombia,3130.0
Brazil,Czech Republic,1151.0
Brazil,Denmark,4462.0
Brazil,Estonia,485.0
Brazil,France,63599.328036844025
Brazil,Greece,2416.0
Brazil,Hungary,1658.0
Brazil,Italy,113600.0
Brazil,Japan,149011.0
Brazil,LUX,4723.0
Brazil,Latvia,57.0
Brazil,Lithuania,79.0
Brazil,New Zealand,7053.0
Brazil,Norway,6359.0
Brazil,Poland,1626.0
Brazil,Portugal,238783.0
Brazil,Slovakia,146.0
Brazil,Slovenia,189.0
Brazil,Spain,144016.0
Brazil,Sweden,10005.0
Brazil,Switzerland,44217.661668081666
Brazil,Turkey,1166.0
Brazil,United States,515339.0
Bulgaria,Australia,3559.0
Bulgaria,Bulgaria,5499655.0
Bulgaria,Canada,18900.0
Bulgaria,Colombia,59.0
