country,total_outbound,total_inbound,top_outbound_countries,top_inbound_countries
Poland,31660264.259815216,31262060.0,"['Poland', 'United States', 'Canada']","['Poland', 'Ukraine', 'Belarus']"
Portugal,9321531.115165593,9011878.0,"['Portugal', 'France', 'Switzerland']","['Portugal', 'Brazil', 'Other']"
Puerto Rico,1725461.213679552,0.0,"['United States', 'Canada', 'Colombia']",[]
Romania,2202905.4541234723,0.0,"['Italy', 'Spain', 'Hungary']",[]
Russia,1325705.960281849,0.0,"['United States', 'Estonia', 'Latvia']",[]
Senegal,391214.84890527505,0.0,"['France', 'Italy', 'Spain']",[]
Serbia,399255.4550140521,0.0,"['France', 'Switzerland', 'United States']",[]
Slovakia,4764956.310368702,4581860.0,"['Slovakia', 'Czech Republic', 'Hungary']","['Slovakia', 'Czech Republic', 'Unknown']"
Somalia,292036.8839020729,0.0,"['United States', 'Sweden', 'Canada']",[]
South Africa,461831.16990064783,0.0,"['Australia', 'United States', 'New Zealand']",[]
Spain,34424539.39337349,40687137.0,"['Spain', 'France', 'United States']","['Spain', 'Morocco', 'Romania']"
Sri Lanka,526804.3738761358,0.0,"['Canada', 'Australia', 'Italy']",[]
Sweden,6853120.402250053,8539410.0,"['Sweden', 'United States', 'Norway']","['Sweden', 'Other', 'Syria']"
Switzerland,5241696.635566913,7243554.307257448,"['Switzerland', 'Italy', 'France']","['Switzerland', 'Germany', 'Italy']"
Syria,729149.713936244,0.0,"['Turkey', 'Sweden', 'United States']",[]
Taiwan,478602.7800204754,0.0,"['United States', 'Canada', 'New Zealand']",[]
Thailand,664281.501711607,0.0,"['United States', 'South Korea', 'Australia']",[]
Trinidad and Tobago,303413.6583478466,0.0,"['United States', 'Canada', 'Australia']",[]
Tunisia,595242.7656727486,0.0,"['France', 'Italy', 'Canada']",[]
Turkey,62636553.814800024,65701874.0,"['Turkey', 'France', 'United States']","['Turkey', 'Unknown', 'Other']"
Ukraine,1670920.8199334154,0.0,"['Poland', 'United States', 'Italy']",[]
United Kingdom,3363460.885774944,0.0,"['Australia', 'United States', 'Canada']",[]
United States,221744976.46905255,268390685.0,"['United States', 'Mexico', 'Canada']","['United States', 'Mexico', 'India']"
Unknown,2277462.1359558105,0.0,"['Turkey', 'Colombia', 'South Korea']",[]
Uzbekistan,265749.1203017235,0.0,"['Turkey', 'United States', 'South Korea']",[]
Venezuela,1581056.4679083494,0.0,"['Colombia', 'United States', 'Spain']",[]
Vietnam,2525649.3953926563,0.0,"['United States', 'Japan', 'Australia']",[]
Denmark,0.0,4865995.0,[],"['Other', 'Poland', 'Germany']"
Estonia,0.0,1114057.0,[],"['Other', 'Russia', 'Ukraine']"
LUX,0.0,541367.0,[],"['Other', 'Portugal', 'France']"
Latvia,0.0,1590245.0,[],"['Other', 'Russia', 'Belarus']"
Norway,0.0,4469784.0,[],"['Other', 'Poland', 'Sweden']"
Slovenia,0.0,1791178.0,[],"['Other', 'Bosnia and Herzegovina', 'Croatia']"
South Korea,0.0,45151490.0,[],"['North Korea', 'China', 'Unknown']"
