city,latitude,longitude,country,population
Poughkeepsie,41.695,-73.9211,United States,314159
Santa Ana,33.7367,-117.8819,United States,311379
Ann Arbor,42.2759,-83.731,United States,308983
St. Paul,44.9478,-93.1039,United States,308806
Newark,40.7245,-74.1725,United States,307355
Irvine,33.6772,-117.7738,United States,304527
Oyster Bay,40.7846,-73.514,United States,299958
Santa Rosa,38.4458,-122.7067,United States,296180
Canton,40.8078,-81.3676,United States,294047
Asheville,35.5707,-82.5537,United States,294013
Flint,43.0236,-83.6921,United States,293893
Winter Haven,28.0118,-81.7014,United States,293093
Anchorage,61.1508,-149.1091,United States,290674
Lincoln,40.8099,-96.6784,United States,290531
Concord,35.3933,-80.6369,United States,288783
Jersey City,40.7184,-74.0686,United States,287899
Springfield,37.1943,-93.2916,United States,286280
Plano,33.0502,-96.7486,United States,284948
Shreveport,32.4653,-93.7955,United States,283536
Davenport,41.5565,-90.6053,United States,281333
Lubbock,33.5657,-101.8879,United States,280890
Lakeland,28.0557,-81.9545,United States,280346
South Bend,41.6767,-86.2696,United States,278061
Chula Vista,32.6281,-117.0144,United States,276103
Chandler,33.2825,-111.8514,United States,275618
Rockford,42.2596,-89.064,United States,273237
Reading,40.34,-75.9267,United States,272712
Eugene,44.0564,-123.1174,United States,270990
Wilmington,34.2099,-77.8866,United States,268625
Santa Clarita,34.4175,-118.4964,United States,268273
Gilbert,33.31,-111.7463,United States,267267
Salem,44.9233,-123.0244,United States,266420
Killeen,31.0753,-97.7297,United States,265921
Round Lake Beach,42.3791,-88.0811,United States,264451
Columbus,32.51,-84.8771,United States,264282
North Las Vegas,36.2883,-115.0888,United States,264022
Kennewick,46.1978,-119.1732,United States,259995
St. Petersburg,27.7931,-82.6652,United States,259343
Tallahassee,30.4551,-84.2527,United States,258696
Laredo,27.5625,-99.4874,United States,255293
Irving,32.8583,-96.9702,United States,254962
Peoria,40.752,-89.6154,United States,253467
Montgomery,32.3482,-86.2668,United States,251158
Chesapeake,36.6778,-76.3023,United States,249377
Glendale,33.5791,-112.2311,United States,248083
York,39.9651,-76.7315,United States,247176
Nashua,42.7491,-71.491,United States,245209
Garland,32.91,-96.6304,United States,244026
Scottsdale,33.6872,-111.8651,United States,240537
Lafayette,30.2082,-92.0325,United States,237565
Norfolk,36.8945,-76.259,United States,236973
North Hempstead,40.7912,-73.6688,United States,236573
Arlington,38.8786,-77.1011,United States,235845
Appleton,44.278,-88.3892,United States,233947
Rock Hill,34.9415,-81.0241,United States,228811
Fremont,37.5265,-121.9843,United States,228795
Fargo,46.8651,-96.8292,United States,228364
Gulfport,30.4274,-89.0704,United States,228022
Bremerton,47.5436,-122.7121,United States,226805
Green Bay,44.5148,-87.9895,United States,225633
Enterprise,36.0091,-115.2278,United States,225461
Hialeah,25.8696,-80.3045,United States,222996
Deltona,28.905,-81.2137,United States,221137
San Bernardino,34.1416,-117.2943,United States,221041
Gainesville,29.6804,-82.3459,United States,220929
Spring Valley,36.0952,-115.2636,United States,220114
Tacoma,47.2431,-122.4531,United States,219234
Roanoke,37.2785,-79.9581,United States,218533
Babylon,40.6925,-73.3586,United States,217830
Brownsville,25.9975,-97.458,United States,215269
College Station,30.5852,-96.2959,United States,213177
Olympia,47.0417,-122.8959,United States,210877
Clarksville,36.5692,-87.3413,United States,210551
Yonkers,40.9466,-73.8673,United States,209780
Moreno Valley,33.9244,-117.2045,United States,209578
Thousand Oaks,34.1914,-118.8756,United States,209570
Portland,43.6773,-70.2715,United States,209491
Fontana,34.0968,-117.4599,United States,209279
Hickory,35.741,-81.3223,United States,206008
Amarillo,35.1984,-101.8316,United States,205903
Sioux Falls,43.5396,-96.7311,United States,204484
Huntington,40.8521,-73.3823,United States,203808
Evansville,37.9881,-87.5341,United States,203661
Huntington,38.4109,-82.4345,United States,202754
Waterbury,41.5582,-73.0361,United States,202422
Frisco,33.156,-96.8216,United States,202075
Lorain,41.4409,-82.184,United States,201808
